site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
0214676115	20061003130000	EDT	2	1	72	2	
0214676115	20061003131500	EDT	2	1	72	2	
0214676115	20061003133000	EDT	2	1	72	2	
0214676115	20061003134500	EDT	2	1	73	2	
0214676115	20061003140000	EDT	2	1	74	2	
0214676115	20061003141500	EDT	2	1	75	2	
0214676115	20061003143000	EDT	2	1	76	2	
0214676115	20061003144500	EDT	2	1	77	2	
0214676115	20061003150000	EDT	2	1	76	2	
0214676115	20061003151500	EDT	2	1	75	2	
0214676115	20061003153000	EDT	2	1	76	2	
0214676115	20061003154500	EDT	2	1	76	2	
0214676115	20061003160000	EDT	2	1	77	2	
0214676115	20061003161500	EDT	2	1	80	2	
0214676115	20061003163000	EDT	2	1	82	2	
0214676115	20061003164500	EDT	2	1	84	2	
0214676115	20061003170000	EDT	2	1	84	2	
0214676115	20061003171500	EDT	2	1	84	2	
0214676115	20061003173000	EDT	2	1	84	2	
0214676115	20061003174500	EDT	2	1	84	2	
0214676115	20061003180000	EDT	2	1	83	2	
0214676115	20061003181500	EDT	2	1	83	2	
0214676115	20061003183000	EDT	2	1	82	2	
0214676115	20061003184500	EDT	2	1	81	2	
0214676115	20061003190000	EDT	2	1	80	2	
0214676115	20061003191500	EDT	2	1	79	2	
0214676115	20061003193000	EDT	2	1	77	2	
0214676115	20061003194500	EDT	2	1	76	2	
0214676115	20061003200000	EDT	2	1	75	2	
0214676115	20061003201500	EDT	2	1	74	2	
0214676115	20061003203000	EDT	2	1	75	2	
0214676115	20061003204500	EDT	2	1	76	2	
0214676115	20061003210000	EDT	2	1	76	2	
0214676115	20061003211500	EDT	2	1	77	2	
0214676115	20061003213000	EDT	2	1	77	2	
0214676115	20061003214500	EDT	2	1	78	2	
0214676115	20061003220000	EDT	2	1	79	2	
0214676115	20061003221500	EDT	2	1	79	2	
0214676115	20061003223000	EDT	2	1	80	2	
0214676115	20061003224500	EDT	2	1	80	2	
0214676115	20061003230000	EDT	2	1	80	2	
0214676115	20061003231500	EDT	2	1	81	2	
0214676115	20061003233000	EDT	2	1	81	2	
0214676115	20061003234500	EDT	2	1	82	2	
0214676115	20061004000000	EDT	2	1	82	2	
0214676115	20061004001500	EDT	2	1	82	2	
0214676115	20061004003000	EDT	2	1	82	2	
0214676115	20061004004500	EDT	2	1	81	2	
0214676115	20061004010000	EDT	2	1	82	2	
0214676115	20061004011500	EDT	2	1	82	2	
0214676115	20061004013000	EDT	2	1	81	2	
0214676115	20061004014500	EDT	2	1	81	2	
0214676115	20061004020000	EDT	2	1	80	2	
0214676115	20061004021500	EDT	2	1	79	2	
0214676115	20061004023000	EDT	2	1	78	2	
0214676115	20061004024500	EDT	2	1	77	2	
0214676115	20061004030000	EDT	2	1	79	2	
0214676115	20061004031500	EDT	2	1	80	2	
0214676115	20061004033000	EDT	2	1	81	2	
0214676115	20061004034500	EDT	2	1	82	2	
0214676115	20061004040000	EDT	2	1	83	2	
0214676115	20061004041500	EDT	2	1	83	2	
0214676115	20061004043000	EDT	2	1	82	2	
0214676115	20061004044500	EDT	2	1	80	2	
0214676115	20061004050000	EDT	2	1	79	2	
0214676115	20061004051500	EDT	2	1	78	2	
0214676115	20061004053000	EDT	2	1	77	2	
0214676115	20061004054500	EDT	2	1	77	2	
0214676115	20061004060000	EDT	2	1	77	2	
0214676115	20061004061500	EDT	2	1	78	2	
0214676115	20061004063000	EDT	2	1	78	2	
0214676115	20061004064500	EDT	2	1	77	2	
0214676115	20061004070000	EDT	2	1	77	2	
0214676115	20061004071500	EDT	2	1	76	2	
0214676115	20061004073000	EDT	2	1	76	2	
0214676115	20061004074500	EDT	2	1	76	2	
0214676115	20061004080000	EDT	2	1	76	2	
0214676115	20061004081500	EDT	2	1	76	2	
0214676115	20061004083000	EDT	2	1	77	2	
0214676115	20061004084500	EDT	2	1	77	2	
0214676115	20061004090000	EDT	2	1	77	2	
0214676115	20061004091500	EDT	2	1	77	2	
0214676115	20061004093000	EDT	2	1	77	2	
0214676115	20061004094500	EDT	2	1	78	2	
0214676115	20061004100000	EDT	2	1	78	2	
0214676115	20061004101500	EDT	2	1	78	2	
0214676115	20061004103000	EDT	2	1	77	2	
0214676115	20061004104500	EDT	2	1	76	2	
0214676115	20061004110000	EDT	2	1	74	2	
0214676115	20061004111500	EDT	2	1	71	2	
0214676115	20061004113000	EDT	2	1	69	2	
0214676115	20061004114500	EDT	2	1	67	2	
0214676115	20061004120000	EDT	2	1	64	2	
0214676115	20061004121500	EDT	2	1	64	2	
0214676115	20061004123000	EDT	2	1	63	2	
0214676115	20061004124500	EDT	2	1	64	2	
0214676115	20061004130000	EDT	2	1	66	2	
0214676115	20061004131500	EDT	2	1	69	2	
0214676115	20061004133000	EDT	2	1	72	2	
0214676115	20061004134500	EDT	2	1	76	2	
0214676115	20061004140000	EDT	2	1	78	2	
0214676115	20061004141500	EDT	2	1	81	2	
0214676115	20061004143000	EDT	2	1	84	2	
0214676115	20061004144500	EDT	2	1	84	2	
0214676115	20061004150000	EDT	2	1	86	2	
0214676115	20061004151500	EDT	2	1	87	2	
0214676115	20061004153000	EDT	2	1	87	2	
0214676115	20061004154500	EDT	2	1	89	2	
0214676115	20061004160000	EDT	2	1	89	2	
0214676115	20061004161500	EDT	2	1	89	2	
0214676115	20061004163000	EDT	2	1	89	2	
0214676115	20061004164500	EDT	2	1	88	2	
0214676115	20061004170000	EDT	2	1	87	2	
0214676115	20061004171500	EDT	2	1	86	2	
0214676115	20061004173000	EDT	2	1	84	2	
0214676115	20061004174500	EDT	2	1	83	2	
0214676115	20061004180000	EDT	2	1	81	2	
0214676115	20061004181500	EDT	2	1	80	2	
0214676115	20061004183000	EDT	2	1	79	2	
0214676115	20061004184500	EDT	2	1	79	2	
0214676115	20061004190000	EDT	2	1	79	2	
0214676115	20061004191500	EDT	2	1	78	2	
0214676115	20061004193000	EDT	2	1	78	2	
0214676115	20061004194500	EDT	2	1	78	2	
0214676115	20061004200000	EDT	2	1	78	2	
0214676115	20061004201500	EDT	2	1	78	2	
0214676115	20061004203000	EDT	2	1	78	2	
0214676115	20061004204500	EDT	2	1	77	2	
0214676115	20061004210000	EDT	2	1	77	2	
0214676115	20061004211500	EDT	2	1	77	2	
0214676115	20061004213000	EDT	2	1	77	2	
0214676115	20061004214500	EDT	2	1	78	2	
0214676115	20061004220000	EDT	2	1	79	2	
0214676115	20061004221500	EDT	2	1	79	2	
0214676115	20061004223000	EDT	2	1	79	2	
0214676115	20061004224500	EDT	2	1	79	2	
0214676115	20061004230000	EDT	2	1	79	2	
0214676115	20061004231500	EDT	2	1	80	2	
0214676115	20061004233000	EDT	2	1	80	2	
0214676115	20061004234500	EDT	2	1	81	2	
0214676115	20061005000000	EDT	2	1	82	2	
0214676115	20061005001500	EDT	2	1	83	2	
0214676115	20061005003000	EDT	2	1	84	2	
0214676115	20061005004500	EDT	2	1	84	2	
0214676115	20061005010000	EDT	2	1	84	2	
0214676115	20061005011500	EDT	2	1	84	2	
0214676115	20061005013000	EDT	2	1	84	2	
0214676115	20061005014500	EDT	2	1	84	2	
0214676115	20061005020000	EDT	2	1	84	2	
0214676115	20061005021500	EDT	2	1	84	2	
0214676115	20061005023000	EDT	2	1	83	2	
0214676115	20061005024500	EDT	2	1	83	2	
0214676115	20061005030000	EDT	2	1	82	2	
0214676115	20061005031500	EDT	2	1	82	2	
0214676115	20061005033000	EDT	2	1	82	2	
0214676115	20061005034500	EDT	2	1	82	2	
0214676115	20061005040000	EDT	2	1	82	2	
0214676115	20061005041500	EDT	2	1	82	2	
0214676115	20061005043000	EDT	2	1	82	2	
0214676115	20061005044500	EDT	2	1	82	2	
0214676115	20061005050000	EDT	2	1	81	2	
0214676115	20061005051500	EDT	2	1	80	2	
0214676115	20061005053000	EDT	2	1	80	2	
0214676115	20061005054500	EDT	2	1	79	2	
0214676115	20061005060000	EDT	2	1	78	2	
0214676115	20061005061500	EDT	2	1	77	2	
0214676115	20061005063000	EDT	2	1	76	2	
0214676115	20061005064500	EDT	2	1	75	2	
0214676115	20061005070000	EDT	2	1	74	2	
0214676115	20061005071500	EDT	2	1	72	2	
0214676115	20061005073000	EDT	2	1	72	2	
0214676115	20061005074500	EDT	2	1	72	2	
0214676115	20061005080000	EDT	2	1	72	2	
0214676115	20061005081500	EDT	2	1	73	2	
0214676115	20061005083000	EDT	2	1	74	2	
0214676115	20061005084500	EDT	2	1	75	2	
0214676115	20061005090000	EDT	2	1	76	2	
0214676115	20061005091500	EDT	2	1	77	2	
0214676115	20061005093000	EDT	2	1	77	2	
0214676115	20061005094500	EDT	2	1	78	2	
0214676115	20061005100000	EDT	2	1	78	2	
0214676115	20061005101500	EDT	2	1	79	2	
0214676115	20061005103000	EDT	2	1	79	2	
0214676115	20061005104500	EDT	2	1	78	2	
0214676115	20061005110000	EDT	2	1	77	2	
0214676115	20061005111500	EDT	2	1	75	2	
0214676115	20061005113000	EDT	2	1	74	2	
0214676115	20061005114500	EDT	2	1	72	2	
0214676115	20061005120000	EDT	2	1	70	2	
0214676115	20061005121500	EDT	2	1	69	2	
0214676115	20061005123000	EDT	2	1	68	2	
0214676115	20061005124500	EDT	2	1	67	2	
0214676115	20061005130000	EDT	2	1	68	2	
0214676115	20061005131500	EDT	2	1	69	2	
0214676115	20061005133000	EDT	2	1	72	2	
0214676115	20061005134500	EDT	2	1	74	2	
0214676115	20061005140000	EDT	2	1	76	2	
0214676115	20061005141500	EDT	2	1	78	2	
0214676115	20061005143000	EDT	2	1	80	2	
0214676115	20061005144500	EDT	2	1	82	2	
0214676115	20061005150000	EDT	2	1	84	2	
0214676115	20061005151500	EDT	2	1	84	2	
0214676115	20061005153000	EDT	2	1	85	2	
0214676115	20061005154500	EDT	2	1	85	2	
0214676115	20061005160000	EDT	2	1	85	2	
0214676115	20061005161500	EDT	2	1	85	2	
0214676115	20061005163000	EDT	2	1	84	2	
0214676115	20061005164500	EDT	2	1	84	2	
0214676115	20061005170000	EDT	2	1	84	2	
0214676115	20061005171500	EDT	2	1	84	2	
0214676115	20061005173000	EDT	2	1	83	2	
0214676115	20061005174500	EDT	2	1	83	2	
0214676115	20061005180000	EDT	2	1	83	2	
0214676115	20061005181500	EDT	2	1	82	2	
